Time,"die Zeit$die Zeit$die Zeit$die Zeit$der Zeitpunkt$",0
Be,"sein$im Begriff sein zu$wurde$sollte, werden$sein$",0
Good,"gut$gut$gut$geschickt$gut$",0
Year,"das Jahr$das Jahr$",0
Have,"Imperfekt$haben$haben$bekommen$haben, bekommen$",0
New,"neu$neu$neu$neu$",0
People,"die Leute (pl.)$die Leute (pl.)$das Volk$",0
Do,"Hilfsverb in Fragen und bei Verneinung$Hilfsverb zur Betonung$statt Wiederholung des Verbs$bei Inversion$tun$",0
Old,"alt$alt$alt$alt$vergangen$",0
Way,"der Weg$der Weg$der Weg$der Weg$die Art und Weise$",0
Say,"sagen$sagen$aufsagen$sagen$",0
Great,"bedeutend$groß$besonder$großartig$sehr gut$",0
Man,"der Mann$der Mensch$der Mann$Mensch!$der Soldat$",0
Get,"erhalten$besorgen$kommen, holen$bringen$werden$",0
High,"hoch$hoch$hoch$Haupt-…$hoch$",0
Day,"der Tag$der Tag$der Tag$die Tage (pl.)$",0
Make,"machen$bringen zu$machen$machen$ergeben$",0
Small,"klein$klein$wenig$klein$",0
Thing,"die Sache$das Ding$die Sache$",0
Go,"gehen$gehen$abgehen$führen$gehen$",0
Large,"groß$",0
Child,"das Kind$das Kind$",0
See,"sehen$sehen$sehen$sehen$verstehen$",0
Long,"lang$lang$lang$lange weg$weitreichend$",0
Know,"wissen$kennen$kennen$erkennen$",0
Young,"jung$",0
Government,"die Regierung$die Regierungsform$die Regierung$",0
Take,"nehmen$(mit-)nehmen$machen$nehmen$an-, zurück-, auf sich nehmen$",0
Right,"rechts$richtig$richtig$richtig$",0
Work,"die Arbeit$die Arbeit$die Arbeit$das Werk$die Arbeit$",0
Think,"denken$halten für/von$überlegen$(sich)denken$",0
Early,"früh$zu früh$",0
Life,"das Leben$das Leben$das Leben$das Leben$das Leben$",0
Come,"kommen$kommen$erscheinen$dazu kommen$gelangen$",0
Big,"groß$bedeutend$",0
Woman,"die Frau, weiblich, Frauen…$die Putzfrau$die…-frau$",0
Give,"rausgeschmissen werden$abwimmeln$geben$geben$nachgeben$",0
Late,"spät$spät$früher$ehemalig$",0
System,"das System, das Netz$der Organismus$das System$das System$das System$",0
Look,"schauen$aussehen$gehen nach$",0
Full,"voll$vollständig, ganz$weit$",0
Case,"der Kasten$die Kiste$der Schrank$der Fall$der Fall$",0
Use,"benutzen$verbrauchen$der Gebrauch$die Verwendbarkeit$der Nutzen$",0
Far,"weit$weit$weit$",0
Part,"der Teil$der Teil$die Rolle$die Rolle$die Stimme$",0
Find,"finden$feststellen$finden$",0
Low,"niedrig$leise$tief$niedrig$schwach$",0
Group,"die Gruppe$die Gruppe$",0
Want,"wollen$brauchen$mangeln, Not leiden$",0
Bad,"schlecht$böse$schlecht$schlecht$schlecht$",0
Number,"die Nummer$die (An)Zahl$die Ausgabe$der Schlager$",0
Tell,"erzählen$befehlen$sagen$unterscheiden$verraten$",0
Sure,"sicher$gewiß$sicher$",0
World,"die Welt$die Welt$die Welt$die Welt$die Welt$",0
Put,"stellen, legen, tun$formulieren$ausdrücken$schreiben$fahren$",0
Clear,"klar$klar$deutlich$frei$rein$",0
House,"das Haus$das Haus$das Haus$das Geschlecht$",0
Mean,"knauserig$gemein$bösartig$schäbig$Mittel-…$",0
Likely,"wahrscheinlich$geeignet$",0
Area,"die Gegend$die Fläche$",0
Become,"werden$werden$werden aus$stehen$",0
Real,"echt$echt$tatsächlich$wirklich$",0
Company,"die Gesellschaft$der Besuch$die Gesellschaft$die Gesellschaft$die Kompanie$",0
Leave,"verlassen, aufgeben$zurücklassen$lassen$lassen$überlassen$",0
Black,"schwarz$dunkel$schmutzig$schwarz$schwarz, böse$",0
Problem,"das Problem, Problem-…$das Problem$",0
White,"weiß$weiß$weiß$mit Milch$",0
Service,"die Bedienung$der Dienst$der Dienst$der Kundendienst$der Verkehr$",0
Need,"benötigen$müssen$",0
Free,"frei$frei$freigiebig$frei$kostenlos$",0
Place,"der Ort$der Platz$der Platz$der Platz$der Platz$",0
Feel,"fühlen$befühlen$spüren$fühlen$glauben$",0
Easy,"leicht$behaglich$ungezwungen$natürlich$Langsam!$",0
Hand,"die Hand$der Zeiger$der Arbeiter, der Mann$die Hilfe$das Blatt$",0
Seem,"scheinen$",0
Short,"kurz$klein$kurz$zu wenig$knapp$",0
Party,"die Party; Party-…$die Gruppe$die Partei$",0
Ask,"fragen$bitten$einladen$",0
Strong,"stark$stark$stark$stark$",0
School,"die Schule$die Schüler (pl.)$die Schule$die Fakultät$die Hochschule$",0
Show,"zeigen$sich sehen lassen$zeigen$zeigen$zeigen$",0
True,"wahr$zutreffend$treu$echt$",0
Country,"das Land$das Volk$das Land$das Gelände$",0
Try,"versuchen$probieren$vor Gericht stellen$auf eine harte Probe stellen$",0
Hard,"hart$schwer, schwierig$hart$streng$hart$",0
Point,"die Spitze$die Landspitze$der Punkt$der Punkt$der Punkt$",0
Call,"rufen$bezeichnen als$rufen$anfragen, kommen lassen$kurz besuchen$",0
Poor,"arm$mangelhaft$arm$",0
Week,"die Woche$die Woche$die Woche$",0
Keep,"behalten$behalten$bleiben, halten$weiter-$aufbewahren$",0
Wide,"breit, weit$breit$groß$reich$",0
Member,"das Mitglied$",0
Provide,"be-, versorgen$sorgen$",0
Simple,"einfach$einfach$schlicht$rein$naiv$",0
End,"das Ende, End-…$das Ende$der Tod$das Ziel$der Rest, der Stummel$",0
Hold,"halten$halten$halten$halten$festhalten$",0
Close,"schließen$enden$abschließen$nahe$eng$",0
State,"der Zustand$der Staat, Staats-…$der Staat, Staats-…$erklären$",0
Turn,"(sich) drehen$sich (um-) drehen$eine Biegung machen$lenken$biegen um$",0
Fine,"vorzüglich$schön$gut$zart$genau$",0
Word,"das Wort$einige Worte (pl.)$der Bescheid$das Wort$",0
Follow,"folgen$folgen$folgen können$befolgen$",0
Wrong,"falsch$falsch$unrecht$verkehrt$nicht in Ordnung$",0
Family,"die Familie, Familien…$die Familie$die Familie$die Familie$",0
Begin,"anfangen$",0
French,"Pommes frites(pl.)$",0
Fact,"die Tatsache$die Wirklichkeit$",0
Bring,"bringen$bringen$",0
Nice,"freundlich$schön$genau$",0
Head,"der Kopf$der Kopf$die Kopflänge$das (Ober-)Haupt; Ober…$der Kopf$",0
Like,"wie$mögen$mögen$",0
Happy,"glücklich$froh$glücklich$",0
Month,"der Monat$",0
Going,"das Gehen$die Leistung$gutgehend$bestehend$",0
Red,"rot$rot$rot$",0
Side,"die Seite$die Seite$die Seite$die Seite$die Seite$",0
Help,"helfen$beitragen zu$lindern$etwas tun$verhindern$",0
Sorry,"leid tun$bedauern$traurig$",0
Business,"das Geschäft$das Geschäft$die Angelegenheit$",0
Start,"aufbrechen$anfangen$anlassen, anspringen$gründen$aufschrecken$",0
Dead,"tot$tot$völlig$",0
Night,"die Nacht, Nacht-…$die Dunkelheit$",0
Run,"rennen$fahren$laufen$laufen(lassen)$leiten$",0
Heavy,"schwer$schwer$schwer, stark$stark$trübe$",0
Eye,"das Auge$das Öhr, die Öse$der Blick$",0
Write,"schreiben$schreiben$schreiben$",0
Cold,"kalt$kalt$kalt$",0
Home,"die Heimat$die Heimat$das Heim$das Heim$die Wohnung$",0
Set,"stellen, legen, setzen$decken$festlegen$stellen$veranlassen$",0
Ready,"fertig$bereit$rasch$im Begriff$",0
Question,"die Frage$die Frage$die Frage$die Frage$die Frage$",0
Move,"(fort-)bewegen$umziehen$ergreifen$",0
Green,"grün$unreif$unerfahren$grün, gelb$",0
Information,"die Information$",0
Play,"spielen$spielen$spielen$spielen$spielen$",0
Deep,"tief$tief$tief$tief$tief$",0
Power,"die Kraft$die Kraft; mit Elektrizität betrieben$die Macht$die Befugnis$einflußreiche Persönlichkeit$",0
Pay,"bezahlen$bezahlen$bezahlen$sich auszahlen$zollen$",0
Left,"link/linke/linkes$",0
Change,"(ver-)ändern$tauschen$wechseln$verwandeln$wechseln$",0
Hear,"hören$anhören$hören$",0
Complete,"vollständig$völlig$fertig$",0
Interest,"das Interesse$das Interesse$die Zinsen (pl.); Zins-…$der Anteil$Kreise(pl.)$",0
Include,"einschließen$",0
Hot,"heiß$heiß$scharf$hitzig$frisch$",0
Development,"die Entwicklung$die Entwicklung$",0
Believe,"glauben$glauben$glauben$",0
Fair,"der Jahrmarkt$der Markt$die Messe$hell$gerecht$",0
Money,"das Geld$",0
Allow,"erlauben$berücksichtigen$geben$",0
Huge,"riesig$",0
Book,"das Buch$das Buch$das Wettbuch$",0
Meet,"treffen$zusammenkommen$kennenlernen$sich schneiden$gerecht werden$",0
Rich,"reich$reich$reich$reichhaltig$kostbar$",0
Water,"das Wasser, Wasser-…$der Gelbrandkäfer$",0
Lead,"führen$führen$führen$anführen$führen$",0
Safe,"sicher$sicher$unversehrt$ungefährlich$sicher$",0
Other,"ander$ander/e/es$neulich$",0
